,wallet_name,wallet_balance,network,wallet_address,price_usd,balance_usd,update_time
109,UNI,6000000.0,Ethereum,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,4.921304339463643,29527826.03678186,2023-06-28 17:11:52
110,LINK,5000000.0,Ethereum,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,5.873996466599904,29369982.332999516,2023-06-28 17:11:52
111,ADA,106511734.53,BNB Beacon Chain (BEP2),bnb1u2agwjat20494fmc6jnuau0ls937cfjn4pjwtn,0.2729601403149832,29073458.002501044,2023-06-28 17:19:07
112,IMX,40000000.0,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.7067909469320879,28271637.877283514,2023-06-28 17:11:13
113,LTC,335523.61,BNB Smart Chain (BEP20),0xf977814e90da44bfa03b6295a0616a897441acec,83.96661681005577,28172782.391596593,2023-06-28 17:16:06
114,USDC,27991122.51,Tron20,TV6MuMXfmLbBqPZvBHdwFsDnQeVfnmiuSi,1.000072916375962,27993163.52121254,2023-06-28 17:25:49
115,ID,100000000.0,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.2743648301800392,27436483.018003922,2023-06-28 17:11:13
116,RDNT,93925809.18,Arbitrum,0xb38e8c17e38363af6ebdcb3dae12e0243582891d,0.2888663315140728,27132003.932317425,2023-06-28 17:27:10
117,CRV,40000000.0,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.6750267722003643,27001070.888014574,2023-06-28 17:11:13
118,ETH,14572.84,Ethereum,0x21a31ee1afc51d94c2efccaa2092ad1028285549,1848.2481313052924,26934224.297811016,2023-06-28 17:11:24
119,USDT,26839149.91,Optimism,0xacd03d601e5bb1b275bb94076ff46ed9d753435a,0.9998867436501655,26836110.205848534,2023-06-28 17:22:56
120,HOT,20000000000.0,Ethereum,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0.0013344934632644686,26689869.265289374,2023-06-28 17:11:52
121,ETH,14408.47,Ethereum,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,1848.2481313052924,26630427.752468366,2023-06-28 17:12:16
122,BUSD,26350975.02,Ethereum,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,1.0000220806453701,26351556.866534572,2023-06-28 17:11:34
123,INJ,3330528.82,Ethereum,0x21a31ee1afc51d94c2efccaa2092ad1028285549,7.755535054424738,25830033.013281856,2023-06-28 17:11:24
124,INJ,3148693.29,Ethereum,0x28c6c06298d514db089934071355e5743bf21d60,7.755535054424738,24419801.186226957,2023-06-28 17:11:43
125,ENS,2800000.0,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,8.614346584907354,24120170.43774059,2023-06-28 17:12:09
126,RNDR,12000000.0,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,1.9235808176841784,23082969.812210143,2023-06-28 17:12:09
127,ENJ,80000000.0,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.28841845098599495,23073476.078879595,2023-06-28 17:11:13
128,DOGE,358324741.0,Dogechain,DPAMdZsSirVBGeDR9sE1LJXkwG6AQSNAMW,0.06294826354684924,22555920.231824495,2023-06-28 17:12:43
129,ACH,1070068851.12,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.020802385227986244,22259984.4614669,2023-06-28 17:11:13
130,MANA,61000000.0,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,0.36416734751310303,22214208.198299285,2023-06-28 17:12:09
131,FET,100000000.01,Ethereum,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0.2191233272615968,21912332.728350915,2023-06-28 17:11:52
132,ETH,11603.69,Ethereum,0x9696f59e4d72e237be84ffd425dcad154bf96976,1848.2481313052924,21446498.35874591,2023-06-28 17:12:02
133,YFI,3400.0,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,6261.971460212534,21290702.964722615,2023-06-28 17:11:13
134,DOGE,338020526.12,Dogechain,DJfU2p6woQ9GiBdiXsWZWJnJ9uDdZfSSNC,0.06294826354684924,21277805.1624464,2023-06-28 17:12:44
135,APE,9726926.95,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,2.183693476510632,21240626.927210458,2023-06-28 17:11:13
136,LIT,31365540.15,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.666578551459288,20907596.31892514,2023-06-28 17:11:13
137,MASK,6000000.0,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,3.3845610558665,20307366.335199,2023-06-28 17:11:13
138,LRC,91399026.69,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.2216399211183068,20257673.065861616,2023-06-28 17:11:13
139,SNX,9466355.0,Optimism,0xF977814e90dA44bFA03b6295A0616a897441aceC,2.132257887319075,20184710.112912364,2023-06-28 17:22:57
140,TRX,270716505.65,Tron20,TV6MuMXfmLbBqPZvBHdwFsDnQeVfnmiuSi,0.07451829851722243,20173333.38156603,2023-06-28 17:25:49
141,TUSD,20010914.91,Tron20,TV6MuMXfmLbBqPZvBHdwFsDnQeVfnmiuSi,0.9990090878898832,19991085.852081165,2023-06-28 17:25:49
142,ETH,10795.72,Ethereum,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,1848.2481313052924,19953169.31609517,2023-06-28 17:11:34
143,UNI,4030000.0,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,4.921304339463643,19832856.48803848,2023-06-28 17:12:09
144,ID,72107556.0,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,0.2743648301800392,19783777.356637668,2023-06-28 17:12:09
145,SUSHI,30000000.0,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.6367199642521507,19101598.92756452,2023-06-28 17:11:13
146,DOGE,303275111.0,Dogechain,DAYthKnkrWUHRENvtBwjemi6kFzk4K9SMr,0.06294826354684924,19090641.614427958,2023-06-28 17:12:44
147,BNB,81000.08,BNB Beacon Chain (BEP2),bnb1lsmt5a8vqqus5fwslx8pyyemgjtg4y6ugj308t,233.67845407899043,18927973.474674553,2023-06-28 17:19:08
148,BAKE,182123306.29,BNB Smart Chain (BEP20),0xf977814e90da44bfa03b6295a0616a897441acec,0.10268815202740317,18701905.76404083,2023-06-28 17:16:06
149,GMX,354173.0,Avalanche C-Chain,0x4aefa39caeadd662ae31ab0ce7c8c2c9c0a013e8,52.12414773445674,18460965.77555575,2023-06-28 17:22:20
150,SAND,45854713.95,Polygon,0xf977814e90da44bfa03b6295a0616a897441acec,0.4023330875005139,18448868.639956385,2023-06-28 17:21:58
151,C98,127016052.79,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.14479935073233513,18391841.976576004,2023-06-28 17:11:13
152,MKR,26585.25,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,686.5599520783101,18252367.96598989,2023-06-28 17:11:13
153,1INCH,60000000.0,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.30290568040313637,18174340.82418818,2023-06-28 17:11:13
154,DOGE,286296208.64,Dogechain,DRweGdMgohChLBn2TamjCNicKYEncRgj5a,0.06294826354684924,18021849.193934456,2023-06-28 17:12:43
155,ATA,190045257.17,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.0918960126478551,17464401.356559195,2023-06-28 17:11:13
156,GRT,169572084.0,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,0.10241025421472845,17365920.230161287,2023-06-28 17:12:09
157,ENS,2000000.0,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,8.614346584907354,17228693.16981471,2023-06-28 17:11:13
158,AGLD,30753948.84,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.5590868781350834,17194129.24728167,2023-06-28 17:11:13
159,MATIC,27375377.4,Polygon,0xf977814e90da44bfa03b6295a0616a897441acec,0.6205164158644229,16986871.067183923,2023-06-28 17:21:58
160,LTC,200940.0,Litecoin,MLkNzCps6cXou2DELVfxDuRC4uZGwr397o,83.96661681005577,16872251.981812607,2023-06-28 17:20:19
161,TOMO,12000000.0,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,1.3536617424398227,16243940.909277873,2023-06-28 17:11:13
162,VGX,120000000.0,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.13478441663162974,16174129.995795568,2023-06-28 17:11:13
163,ETH,8644.15,Ethereum,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,1848.2481313052924,15976534.084222643,2023-06-28 17:11:57
164,WBETH,8589.25,Ethereum,0x28c6c06298d514db089934071355e5743bf21d60,1860.0413697093063,15976360.334775658,2023-06-28 17:11:43
165,CHR,130000000.0,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.12281515316039632,15965969.910851521,2023-06-28 17:11:13
166,GAL,13000000.0,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,1.2100757927082773,15730985.305207605,2023-06-28 17:11:13
167,AGIX,70000000.0,Ethereum,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0.22350703275439707,15645492.292807795,2023-06-28 17:11:52
168,BNB,66323.15,BNB Smart Chain (BEP20),0x8894e0a0c962cb723c1976a4421c95949be2d4e3,233.67845407899043,15498291.161648992,2023-06-28 17:16:17
169,ALICE,15949511.7,Ethereum,0xf977814e90da44bfa03b6295a0616a897441acec,0.9681589928825151,15441663.18443989,2023-06-28 17:11:13
170,WOO,70000000.0,Ethereum,0x5a52e96bacdabb82fd05763e25335261b270efcb,0.21906219933181623,15334353.953227136,2023-06-28 17:12:09
